Date,Value
2016-06-30,154900.0
2016-05-31,164500.0
2015-12-31,135560.0
2015-10-31,145000.0
2015-02-28,140000.0
2015-01-31,155000.0
2014-12-31,155000.0
2014-11-30,169954.0
2014-10-31,169000.0
2014-09-30,182500.0
2014-08-31,248700.0
2014-07-31,169000.0
2014-06-30,174900.0
2014-05-31,174900.0
2014-04-30,174900.0
2014-03-31,154900.0
2014-02-28,157900.0
2014-01-31,194000.0
2013-12-31,194000.0
2013-11-30,158000.0
2013-10-31,168700.0
2013-09-30,197000.0
2013-08-31,149000.0
2013-07-31,149000.0
2013-06-30,185000.0
2013-05-31,185000.0
2013-04-30,189000.0
2012-10-31,169000.0
2012-09-30,165000.0
2012-08-31,204900.0
2012-07-31,169000.0
2012-06-30,145000.0
2012-03-31,119000.0
2012-02-29,139500.0
2012-01-31,139500.0
2011-12-31,159000.0
2011-11-30,159000.0
2011-10-31,159000.0
2011-09-30,169500.0
2011-08-31,145750.0
2011-07-31,135000.0
2011-06-30,145750.0
2011-05-31,184900.0
2011-04-30,157000.0
2011-03-31,162000.0
2011-02-28,159900.0
2011-01-31,117000.0
2010-12-31,130000.0
2010-11-30,129000.0
2010-10-31,129000.0
2010-09-30,139000.0
2010-08-31,149965.0
2010-07-31,149965.0
2010-06-30,149965.0
2010-05-31,169987.0
2010-04-30,169987.0
2010-03-31,169987.0
2009-08-31,158500.0
2009-07-31,165000.0
2009-06-30,169900.0
2009-05-31,165000.0
2009-04-30,226000.0
2008-10-31,159900.0
